id;newspaper_name;width;height;dpi;uploadtime;filename
1;access;29235;70595;28749;Loan;Research Officer
2;Interface Direct Bedfordshire;79636;2984;80634;Frozen;Assurance
3;Jewelery integrated;94011;60716;65198;Sleek;FTP solid Corners
4;Markets;6271;14329;19516;Right-sized;deposit index
5;Texas Pants Granite;25905;69357;4221;Ball Berkshire Switchable;Pike Mobility bifurcated
6;Health Bahamas Supervisor;92978;41018;67610;e-business solid;Carolina Rue Mountains
7;Group e-business;36140;99606;60547;Games;generate Strategist Games
8;Yen;20552;60167;41340;platforms;Fish Avon Licensed
9;PCI Gloves;53025;76407;26501;Aruba;connecting
10;Associate Concrete Gloves;98106;48596;27089;Illinois attitude-oriented methodology;Tuna Account
